"danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","preference"
0.521,0.892,-4.029,0.0433,0.0539,0,0.117,0.369,96.991,"negative"
0.669,0.718,-8.004,0.0455,0.0143,7.31e-06,0.115,0.231,111.974,"positive"
0.453,0.736,-6.269,0.229,0.204,4.18e-06,0.105,0.288,160.018,"positive"
0.796,0.927,-4.942,0.0397,0.0027,0,0.0657,0.459,126.035,"negative"
0.612,0.44,-9.845,0.0503,0.113,0.0139,0.0998,0.0562,144.011,"positive"
0.511,0.687,-6.265,0.0899,0.00327,0.522,0.0655,0.143,140.014,"positive"
0.544,0.764,-7.702,0.0342,0.23,0.665,0.231,0.0513,149.955,"positive"
0.659,0.873,-5.349,0.0871,0.0435,0,0.379,0.623,105.963,"negative"
0.611,0.818,-5.323,0.0682,0.223,0,0.376,0.64,140.046,"negative"
0.0945,0.314,-13.519,0.0342,0.0117,0.783,0.423,0.034,84.479,"positive"
0.854,0.675,-7.32,0.06,0.346,9.88e-05,0.12,0.73,109.955,"negative"
0.824,0.862,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,"negative"
0.791,0.749,-8.744,0.043,0.0213,0.0321,0.079,0.0669,109.997,"positive"
0.761,0.769,-6.912,0.199,0.0875,0,0.0843,0.513,90.023,"negative"
0.522,0.722,-5.725,0.0506,0.0774,0.00238,0.113,0.0782,142.115,"positive"
0.598,0.548,-12.421,0.0295,0.651,0.72,0.13,0.0392,90.027,"positive"
0.619,0.256,-16.575,0.0605,0.0946,0.369,0.0896,0.184,160.109,"positive"
0.479,0.486,-10.38,0.051,0.893,0.00233,0.132,0.163,129.833,"negative"
0.647,0.761,-4.842,0.0317,0.529,0.838,0.135,0.516,73.001,"positive"
0.339,0.609,-6.51,0.0386,0.85,1.47e-05,0.134,0.518,81.318,"negative"
0.792,0.62,-4.832,0.266,0.11,1.61e-05,0.085,0.637,169.985,"negative"
0.895,0.106,-8.614,0.0789,0.807,3.52e-05,0.0905,0.384,119.051,"positive"
0.672,0.821,-5.897,0.296,0.00328,0.00351,0.0912,0.736,189.956,"negative"
0.68,0.509,-8.83,0.0409,0.658,0.000488,0.182,0.528,119.951,"negative"
0.469,0.547,-4.96,0.275,0.0772,0.463,0.136,0.0638,169.119,"positive"
0.748,0.819,-5.832,0.309,0.103,0.00216,0.126,0.354,90.078,"negative"
0.58,0.72,-5.541,0.0638,0.0145,0.598,0.281,0.16,143.816,"positive"
0.671,0.672,-9.188,0.12,0.103,3.98e-05,0.074,0.186,117.96,"positive"
0.489,0.5,-14.727,0.0353,0.716,0.895,0.615,0.0286,108.002,"positive"
0.704,0.675,-5.841,0.06,0.131,0.394,0.371,0.065,135.025,"positive"
0.636,0.776,-4.019,0.335,0.359,0.00141,0.533,0.257,120.019,"positive"
0.883,0.584,-8.422,0.152,0.136,6.4e-06,0.142,0.395,120.053,"negative"
0.783,0.0788,-17.975,0.0444,0.847,0.881,0.102,0.442,139.991,"positive"
0.388,0.665,-9.674,0.165,0.379,0,0.145,0.546,81.127,"negative"
0.714,0.408,-9.957,0.14,0.671,0.738,0.103,0.0747,142.019,"positive"
0.618,0.262,-24.976,0.141,0.82,0.866,0.107,0.0382,180.913,"positive"
0.369,0.759,-8.304,0.0602,0.124,0.0143,0.108,0.555,139.65,"positive"
0.746,0.592,-6.861,0.0914,0.462,1.17e-05,0.187,0.629,160.065,"negative"
0.658,0.604,-5.544,0.114,0.121,0,0.0764,0.27,159.884,"negative"
0.463,0.209,-12.329,0.293,0.501,0.918,0.115,0.0693,174.831,"positive"
0.487,0.427,-15.448,0.0313,0.322,0.97,0.113,0.0469,126.066,"positive"
0.53,0.651,-5.676,0.0494,0.488,0,0.411,0.174,133.184,"positive"
0.643,0.518,-9.191,0.0684,0.0658,0.494,0.122,0.598,124.911,"positive"
0.522,0.722,-5.725,0.0506,0.0774,0.00238,0.113,0.0782,142.115,"positive"
0.692,0.773,-3.739,0.0359,0.226,0.0104,0.108,0.486,139.989,"positive"
0.699,0.406,-5.705,0.0774,0.0532,0.000147,0.36,0.296,140.082,"positive"
0.422,0.772,-4.434,0.0393,0.572,0.0282,0.0773,0.072,140.013,"positive"
0.773,0.754,-4.938,0.217,0.0604,0.017,0.178,0.36,120.022,"positive"
0.284,0.815,-8.204,0.0486,0.0162,0.912,0.101,0.184,152.921,"positive"
0.543,0.822,-4.777,0.0539,0.00101,0.927,0.0826,0.0761,161.895,"positive"
0.18,0.244,-17.797,0.0371,0.88,0.918,0.0978,0.0586,73.16,"positive"
0.656,0.55,-12.16,0.132,0.33,0.544,0.112,0.144,69.011,"positive"
0.841,0.728,-3.37,0.0484,0.0847,0,0.149,0.43,130.049,"positive"
0.658,0.709,-6.736,0.0904,0.00188,0.00447,0.0657,0.855,129.699,"positive"
0.618,0.842,-5.892,0.0473,0.00105,0.284,0.183,0.405,112.972,"positive"
0.589,0.758,-7.466,0.2,0.403,0.101,0.167,0.469,110.13,"positive"
0.426,0.507,-10.539,0.0366,0.0531,0.00458,0.126,0.0781,139.98,"positive"
0.769,0.754,-6.036,0.159,0.481,3.89e-06,0.411,0.376,110.036,"negative"
0.537,0.579,-6.931,0.518,0.0812,0.173,0.21,0.231,78.49,"positive"
0.169,0.347,-8.89,0.0323,0.585,0.935,0.107,0.0371,85.427,"positive"
0.492,0.594,-6.543,0.407,0.191,0.162,0.108,0.259,75.014,"positive"
0.799,0.711,-5.998,0.309,0.028,0,0.158,0.571,129.906,"negative"
0.76,0.466,-7.334,0.302,0.0206,3.51e-05,0.287,0.76,107.741,"positive"
0.428,0.645,-5.262,0.0353,0.00156,0.0115,0.129,0.1,89.855,"positive"
0.624,0.68,-7.285,0.0421,0.114,6.78e-05,0.0614,0.117,91.998,"positive"
0.528,0.757,-5.423,0.212,0.00957,5.53e-05,0.145,0.304,93.007,"positive"
0.514,0.639,-12.348,0.0358,0.000364,0.895,0.136,0.661,145.499,"positive"
0.697,0.71,-7.504,0.0532,0.141,0,0.245,0.245,124.009,"negative"
0.599,0.885,-6.584,0.0784,0.0495,0.00654,0.604,0.127,150.215,"negative"
0.83,0.585,-6.476,0.094,0.237,0,0.248,0.485,109.978,"negative"
0.489,0.257,-16.113,0.0408,0.374,0.942,0.0847,0.339,186.245,"positive"
0.583,0.503,-12.058,0.0328,0.000633,0.00366,0.0766,0.288,107.984,"positive"
0.778,0.639,-6.525,0.0537,0.0949,0.00157,0.201,0.477,113.971,"negative"
0.673,0.506,-7.728,0.271,0.115,0,0.13,0.288,82.978,"positive"
0.645,0.394,-17.142,0.0641,0.719,0.108,0.0908,0.145,96.973,"positive"
0.707,0.788,-8.012,0.0951,0.0114,0.000199,0.084,0.127,75.022,"negative"
0.91,0.65,-7.709,0.327,0.249,0,0.11,0.713,140.059,"negative"
0.615,0.56,-4.938,0.184,0.0889,0.000114,0.314,0.33,139.441,"negative"
0.782,0.695,-5.407,0.0479,0.199,0,0.231,0.504,125.027,"negative"
0.638,0.98,-4.149,0.171,0.0255,0.000182,0.171,0.219,163.932,"negative"
0.693,0.575,-6.998,0.0801,0.374,0,0.252,0.492,117.999,"negative"
0.728,0.863,-4.67,0.0675,0.0139,0.000259,0.167,0.489,111.972,"negative"
0.807,0.535,-6.519,0.349,0.191,0,0.125,0.925,156.013,"negative"
0.73,0.747,-2.562,0.18,0.104,0,0.154,0.906,85.038,"negative"
0.779,0.497,-13.123,0.125,0.282,0.522,0.0933,0.259,135.07,"positive"
0.644,0.46,-9.875,0.415,0.237,0.742,0.284,0.202,143.948,"positive"
0.548,0.482,-5.5,0.259,0.046,0.177,0.117,0.184,60.352,"positive"
0.756,0.718,-6.619,0.053,0.101,0.0191,0.128,0.621,137.159,"negative"
0.789,0.435,-9.506,0.149,0.691,0.0395,0.107,0.166,122.997,"negative"
0.58,0.72,-5.541,0.0638,0.0145,0.598,0.281,0.16,143.816,"positive"
0.895,0.437,-8.989,0.357,0.108,0,0.0929,0.802,140.014,"positive"
0.793,0.699,-8.065,0.371,0.0085,0,0.0674,0.578,124.008,"negative"
0.814,0.498,-8.566,0.238,0.308,0,0.188,0.174,91.449,"negative"
0.905,0.407,-14.233,0.182,0.655,0.881,0.0939,0.242,119.985,"positive"
0.929,0.396,-9.351,0.0783,0.00374,0.0426,0.061,0.67,125.008,"negative"
0.924,0.723,-3.142,0.0466,0.0177,2.61e-05,0.113,0.643,126.998,"negative"
0.571,0.78,-4.411,0.241,0.107,0.0164,0.0876,0.319,149.63,"positive"
0.478,0.785,-5.437,0.159,0.0157,0.0657,0.0695,0.532,140.977,"positive"
0.561,0.58,-7.314,0.189,0.071,0.000651,0.324,0.338,141.944,"positive"
0.606,0.451,-9.859,0.0369,0.251,0.0512,0.0714,0.103,132.016,"positive"
0.598,0.356,-6.78,0.0508,0.0567,0.817,0.0935,0.214,117.091,"positive"
0.835,0.42,-8.508,0.495,0.543,3.52e-06,0.126,0.344,139.997,"negative"
0.785,0.425,-6.665,0.137,0.0335,4.36e-06,0.108,0.192,174.028,"negative"
0.701,0.807,-7.783,0.0896,0.244,0.00566,0.539,0.113,100.028,"positive"
0.134,0.0343,-29.546,0.0359,0.916,0.96,0.198,0.0381,83.513,"positive"
0.797,0.841,-3.56,0.0754,0.00799,8.4e-06,0.0865,0.768,119.993,"negative"
0.658,0.624,-9.155,0.0915,0.171,0.00588,0.116,0.314,181.942,"negative"
