"danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","preference"
0.623,0.871,-5.557,0.0408,0.0194,0,0.311,0.756,146.994,"negative"
0.543,0.981,-4.631,0.285,0.00152,0.00759,0.447,0.671,162.786,"negative"
0.373,0.756,-6.026,0.0764,0.00814,3.51e-05,0.0578,0.292,144.858,"positive"
0.69,0.559,-6.81,0.284,0.58,0.00113,0.115,0.101,155.964,"positive"
0.458,0.417,-9.841,0.258,0.0256,0.0521,0.0966,0.0416,189.534,"positive"
0.23,0.549,-8.367,0.0493,0.000539,0.11,0.387,0.0359,85.695,"positive"
0.657,0.759,-6.634,0.176,0.033,0,0.203,0.232,92.751,"negative"
0.802,0.503,-7.392,0.135,0.0212,0.00931,0.105,0.508,124.008,"negative"
0.084,0.00835,-33.475,0.041,0.982,0.943,0.0597,0.0679,83.285,"positive"
0.643,0.795,-5.771,0.0697,0.000254,0.00186,0.0859,0.368,122.045,"positive"
0.679,0.89,-5.514,0.0315,0.00637,0.00407,0.0724,0.97,135.023,"negative"
0.211,0.132,-19.023,0.0363,0.962,0.939,0.111,0.0471,78.134,"positive"
0.658,0.476,-10.642,0.0778,0.481,0.788,0.114,0.145,80.011,"positive"
0.605,0.638,-8.945,0.437,0.702,7.62e-05,0.252,0.569,120.091,"positive"
0.357,0.951,-7.965,0.123,0.0731,0.00685,0.713,0.27,142.24,"positive"
0.143,0.212,-17.539,0.0356,0.985,0.961,0.0632,0.0644,101.017,"positive"
0.493,0.442,-8.623,0.0689,0.0176,0.133,0.126,0.367,139.983,"positive"
0.746,0.765,-4.41,0.0993,0.0112,0,0.0936,0.737,114.044,"negative"
0.533,0.71,-2.868,0.148,0.166,0.00045,0.357,0.459,132.892,"positive"
0.647,0.514,-10.05,0.0593,0.0655,0,0.398,0.387,79.974,"positive"
0.43,0.951,-4.083,0.121,0.000118,0.0202,0.336,0.415,173.71,"positive"
0.871,0.669,-7.62,0.329,0.0113,2.9e-06,0.0795,0.806,95.939,"negative"
0.705,0.923,-5.195,0.0474,0.035,0.875,0.324,0.214,127.01,"positive"
0.398,0.286,-11.881,0.033,0.616,0.000146,0.0912,0.0666,78.262,"negative"
0.727,0.473,-9.192,0.136,0.193,0.093,0.151,0.363,140.12,"positive"
0.958,0.485,-6.124,0.0982,0.0237,7.45e-06,0.0869,0.965,132.024,"negative"
0.615,0.571,-7.712,0.0297,0.437,0.0686,0.0405,0.142,129.991,"positive"
0.631,0.85,-4.719,0.0659,0.0331,0.472,0.122,0.218,150.021,"positive"
0.528,0.757,-5.423,0.212,0.00957,5.53e-05,0.145,0.304,93.007,"positive"
0.885,0.508,-6.444,0.0518,0.244,0,0.114,0.846,102.071,"negative"
0.733,0.411,-11.507,0.0407,0.54,0.00169,0.182,0.359,125.03,"positive"
0.533,0.606,-9.326,0.033,0.0022,0.106,0.129,0.182,115.017,"positive"
0.789,0.459,-10.926,0.0351,0.0598,0.688,0.112,0.406,115.983,"positive"
0.538,0.624,-8.794,0.325,0.000175,2.2e-06,0.117,0.409,102.346,"positive"
0.307,0.635,-8.957,0.0339,0.0154,0.00483,0.366,0.304,166.973,"positive"
0.578,0.517,-6.546,0.0955,0.0472,0.000633,0.358,0.16,85.861,"positive"
0.665,0.699,-5.265,0.0578,0.423,0,0.0969,0.585,124.896,"negative"
0.402,0.356,-7.978,0.333,0.655,0.437,0.145,0.284,164.452,"positive"
0.541,0.51,-4.282,0.0644,0.0142,5.73e-05,0.0967,0.226,147.143,"positive"
0.603,0.917,-2.212,0.0345,0.0152,0,0.355,0.115,123.9,"positive"
0.472,0.847,-5.901,0.0468,0.0127,0.694,0.432,0.24,195.03,"positive"
0.427,0.685,-3.7,0.0791,0.0122,0.00164,0.115,0.253,154.87,"positive"
0.68,0.791,-2.929,0.0742,0.129,0.000206,0.0852,0.12,92.003,"positive"
0.694,0.895,-4.349,0.252,0.177,0,0.0749,0.621,120.002,"negative"
0.495,0.921,-5.516,0.0625,0.213,0.518,0.0898,0.0887,101.992,"positive"
0.781,0.436,-8.224,0.0633,0.388,0,0.113,0.562,76.015,"negative"
0.699,0.717,-7.479,0.338,0.0106,0,0.456,0.609,96.533,"positive"
0.576,0.686,-6.859,0.0525,0.038,0.011,0.156,0.553,86.951,"positive"
0.348,0.542,-7.054,0.0337,0.0284,0.0518,0.114,0.103,179.979,"positive"
0.787,0.833,-4.403,0.0478,0.018,0.00747,0.0374,0.796,123.97,"negative"
0.733,0.55,-9.695,0.134,0.142,3.98e-06,0.145,0.206,97.048,"positive"
0.85,0.534,-7.394,0.14,0.305,1.99e-05,0.155,0.388,126.973,"negative"
0.578,0.671,-6.368,0.0423,0.315,0.000557,0.0977,0.461,86.985,"positive"
0.52,0.717,-3.006,0.389,0.116,0,0.249,0.704,135.55,"positive"
0.464,0.571,-5.685,0.035,0.0133,3.51e-06,0.433,0.252,84.988,"positive"
0.867,0.97,-2.568,0.269,0.0824,0.406,0.576,0.8,148.017,"positive"
0.563,0.568,-6.737,0.0477,0.278,0,0.157,0.689,178.057,"negative"
0.736,0.728,-4.798,0.16,0.00781,1.46e-06,0.0954,0.663,87.016,"positive"
0.303,0.785,-3.384,0.0488,0.0125,0.149,0.307,0.0912,150.169,"positive"
0.759,0.649,-6.53,0.0827,0.245,2.75e-06,0.117,0.327,128.994,"positive"
0.597,0.45,-6.658,0.0418,0.223,0,0.382,0.537,178.765,"negative"
0.823,0.567,-9.257,0.131,0.0157,0.000134,0.107,0.661,159.999,"negative"
0.819,0.835,-4.899,0.102,0.398,0.00674,0.252,0.703,144.955,"negative"
0.599,0.79,-4.352,0.386,0.0213,5.87e-05,0.0778,0.528,100.119,"negative"
0.264,0.0459,-21.964,0.0403,0.986,0.95,0.122,0.0581,126.045,"positive"
0.7,0.598,-5.771,0.14,0.126,0.185,0.0861,0.282,150.027,"positive"
0.547,0.397,-10.307,0.0303,0.12,0.000603,0.143,0.108,74.971,"positive"
0.622,0.756,-6.402,0.0718,0.123,0,0.242,0.407,72.821,"negative"
0.883,0.655,-7.835,0.146,0.0162,0,0.074,0.526,119.951,"negative"
0.516,0.976,-5.143,0.309,0.168,0,0.0931,0.7,84.131,"negative"
0.534,0.396,-7.499,0.46,0.443,0.0215,0.0603,0.316,129.882,"positive"
0.663,0.546,-7.778,0.0415,0.066,0.403,0.0851,0.151,129.952,"positive"
0.403,0.68,-7.995,0.0423,0.089,0.74,0.311,0.19,121.999,"positive"
0.684,0.489,-11.861,0.069,0.021,0.592,0.242,0.446,160.033,"negative"
0.44,0.538,-8.497,0.31,0.0332,0,0.106,0.481,77.118,"positive"
0.806,0.475,-8.235,0.0489,0.273,0.000603,0.13,0.56,99.995,"negative"
0.53,0.538,-6.672,0.0335,0.17,2.83e-06,0.248,0.288,148.051,"negative"
0.44,0.406,-11.699,0.0328,0.0419,0.764,0.0522,0.0819,80.079,"positive"
0.587,0.668,-5.79,0.0435,0.222,0,0.0589,0.124,93.974,"positive"
0.667,0.701,-6.77,0.0322,0.287,0,0.121,0.441,147.989,"negative"
0.829,0.609,-10.008,0.059,0.0108,0.261,0.11,0.696,143.97,"positive"
0.734,0.826,-3.151,0.301,0.0126,0,0.145,0.313,149.926,"positive"
0.517,0.48,-7.558,0.0469,0.134,0.663,0.305,0.0386,159.976,"positive"
0.143,0.424,-11.595,0.0398,0.0127,0.0135,0.574,0.0399,63.22,"positive"
0.618,0.59,-8.612,0.0323,0.031,0,0.317,0.155,118.83,"negative"
0.63,0.766,-5.918,0.0405,0.0393,0.373,0.126,0.0352,122.075,"positive"
0.217,0.86,-6.285,0.0556,4.38e-05,0.191,0.297,0.188,159.455,"negative"
0.584,0.616,-5.941,0.0257,0.294,0.0672,0.33,0.101,135.028,"positive"
0.739,0.893,-3.007,0.0457,0.000775,0.846,0.114,0.192,140.022,"negative"
0.414,0.367,-18.619,0.0815,0.411,0.94,0.143,0.248,137.959,"positive"
0.724,0.664,-6.975,0.0926,0.133,0.000317,0.363,0.372,77.483,"negative"
0.279,0.631,-9.395,0.0743,0.518,0.0534,0.165,0.104,99.936,"positive"
0.739,0.538,-3.889,0.177,0.0119,0.897,0.12,0.357,89.936,"positive"
0.789,0.374,-10.371,0.0608,0.229,0.899,0.0846,0.315,123.015,"positive"
0.493,0.692,-10.979,0.151,0.161,0.859,0.0727,0.111,86.983,"positive"
0.817,0.468,-10.945,0.287,0.233,0.0894,0.0905,0.237,104.875,"negative"
0.481,0.0425,-20.43,0.035,0.983,0.00328,0.0876,0.466,110.525,"positive"
0.451,0.809,-8.035,0.0354,0.000102,0.0582,0.341,0.619,179.967,"positive"
0.51,0.675,-6.717,0.145,0.199,0,0.35,0.439,180.094,"positive"
0.648,0.741,-6.312,0.0893,0.149,4.59e-05,0.381,0.374,143.871,"positive"
0.0634,0.0672,-25.07,0.0383,0.225,0.833,0.122,0.0362,63.119,"positive"
0.885,0.353,-10.484,0.0912,0.0866,5.78e-05,0.173,0.316,134.079,"negative"
0.792,0.649,-3.966,0.0808,0.426,9.27e-05,0.0942,0.444,118.016,"positive"
0.471,0.611,-7.205,0.168,0.0132,1.68e-05,0.0917,0.322,136.896,"positive"
0.591,0.489,-5.958,0.0655,0.117,0.000257,0.292,0.194,138.814,"positive"
0.285,0.159,-25.358,0.0381,0.838,0.941,0.114,0.0396,129.802,"positive"
0.537,0.803,-8.522,0.144,0.00578,0.32,0.103,0.361,111.242,"positive"
0.831,0.554,-9.998,0.218,0.161,6.12e-05,0.152,0.396,140.026,"negative"
0.848,0.711,-5.737,0.0518,0.0281,0.018,0.0821,0.152,108.022,"negative"
0.331,0.412,-6.42,0.123,0.769,0.00284,0.859,0.0716,89.875,"positive"
0.342,0.705,-7.73,0.0403,0.16,0.00332,0.0876,0.0398,119.896,"positive"
0.356,0.538,-7.961,0.365,0.0506,0.124,0.292,0.449,80.386,"positive"
0.737,0.846,-4.51,0.22,0.00614,0,0.0486,0.546,87.981,"negative"
0.712,0.674,-8.188,0.194,0.0333,1.87e-06,0.0916,0.329,111.869,"positive"
0.426,0.975,-8.002,0.0784,0.055,0.225,0.893,0.395,122.26,"positive"
0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,"negative"
0.733,0.547,-7.79,0.0776,0.0309,0,0.0882,0.268,96.056,"positive"
0.652,0.536,-8.686,0.0332,0.0301,0.802,0.104,0.261,130.013,"positive"
0.592,0.714,-6.139,0.507,0.395,0,0.265,0.445,122.405,"negative"
0.582,0.693,-5.827,0.15,0.215,0.001,0.104,0.395,88.475,"negative"
0.593,0.392,-6.872,0.0257,0.382,0.000114,0.131,0.25,75.065,"positive"
0.446,0.28,-9.707,0.0332,0.94,0.000934,0.225,0.361,123.39,"negative"
0.788,0.497,-11.271,0.0555,0.111,0.926,0.0741,0.0362,119.984,"positive"
0.88,0.483,-7.012,0.0505,0.0185,8.68e-06,0.0607,0.827,124.009,"negative"
0.344,0.836,-9.225,0.33,0.00185,0.401,0.0681,0.246,98.978,"positive"
0.76,0.511,-8.341,0.313,0.604,0.668,0.0891,0.366,80.115,"positive"
0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,"negative"
0.482,0.698,-5.239,0.0459,0.0208,0.000866,0.087,0.301,155.134,"positive"
0.77,0.724,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,"positive"
0.539,0.374,-11.597,0.0365,0.535,0.415,0.0981,0.117,129.952,"positive"
0.0889,0.103,-21.21,0.0408,0.705,0.91,0.0828,0.0413,72.965,"positive"
0.765,0.556,-6.417,0.0512,0.275,0,0.0824,0.274,111.033,"positive"
0.571,0.66,-11.023,0.0328,0.0628,0.906,0.113,0.0532,140.055,"positive"
0.719,0.607,-7.323,0.0398,0.634,7.76e-06,0.111,0.48,149.969,"negative"
0.611,0.688,-5.688,0.341,0.0264,0,0.251,0.393,178.462,"negative"
0.837,0.689,-5.025,0.217,0.0565,0.000123,0.0971,0.489,125.371,"negative"
0.935,0.454,-7.509,0.375,0.0194,0,0.0824,0.357,133.073,"negative"
0.214,0.181,-14.23,0.0405,0.872,0.963,0.0749,0.0386,64.287,"positive"
0.571,0.854,-5.336,0.0752,0.00771,0.0418,0.0784,0.161,149.961,"positive"
0.58,0.575,-7.72,0.0231,0.25,1.83e-05,0.0813,0.37,92.934,"positive"
0.853,0.448,-10.944,0.0872,0.885,0.691,0.11,0.385,147.988,"positive"
0.594,0.234,-11.175,0.128,0.727,0.00107,0.106,0.368,119.729,"positive"
0.638,0.396,-7.599,0.0335,0.173,0.184,0.145,0.0756,89.976,"positive"
0.885,0.543,-6.338,0.2,0.0311,0,0.154,0.43,99.026,"negative"
0.507,0.791,-4.361,0.24,0.00362,1.54e-05,0.398,0.0741,150.151,"positive"
0.734,0.742,-6.609,0.086,0.17,5.94e-05,0.105,0.567,128.008,"negative"
0.62,0.951,-6.103,0.046,0.0541,0.0187,0.107,0.637,136.518,"positive"
0.78,0.719,-3.613,0.0506,0.302,0.000196,0.0931,0.336,127.962,"negative"
0.618,0.48,-10.135,0.0353,0.51,5.94e-05,0.111,0.386,144.97,"negative"
0.66,0.927,-6.915,0.0788,0.0851,0.375,0.308,0.613,113.015,"negative"
0.928,0.355,-9.181,0.123,0.16,0.000329,0.094,0.0715,120.042,"negative"
0.88,0.607,-7.067,0.0777,0.195,0.0537,0.15,0.823,126.039,"negative"
0.598,0.859,-6.246,0.333,0.0619,0,0.434,0.408,90.798,"negative"
0.55,0.0603,-23.048,0.0742,0.96,0.874,0.0896,0.274,108.063,"positive"
0.627,0.603,-7.983,0.11,0.411,0,0.144,0.498,139.869,"positive"
0.37,0.593,-8.184,0.172,0.0933,0,0.215,0.193,100.256,"positive"
0.588,0.701,-6.39,0.0402,0.00813,0,0.2,0.443,104.988,"negative"
0.609,0.343,-11.967,0.0425,0.815,0.703,0.109,0.402,159.929,"positive"
0.823,0.446,-7.556,0.246,0.216,0.000119,0.119,0.495,114.03,"negative"
0.743,0.72,-3.753,0.124,0.192,0.000386,0.109,0.519,163.99,"negative"
0.572,0.776,-5.236,0.044,0.011,0.00211,0.0879,0.262,149.97,"positive"
0.64,0.923,-5.076,0.232,0.168,4.67e-06,0.11,0.661,147.95,"negative"
0.63,0.729,-5.646,0.0455,0.0283,0.000798,0.0888,0.629,84.971,"positive"
0.686,0.92,-6.231,0.0566,0.301,0.27,0.0807,0.225,135.027,"positive"
0.725,0.756,-5.013,0.0572,0.362,0.000685,0.103,0.828,100.07,"negative"
0.212,0.348,-15.118,0.0305,0.734,0.995,0.495,0.291,75.042,"positive"
0.602,0.821,-6.123,0.0408,0.000925,0.712,0.217,0.821,76.986,"negative"
0.711,0.351,-10.13,0.0409,0.786,0.032,0.144,0.236,135.009,"positive"
0.659,0.387,-13.172,0.0335,0.467,0.692,0.0839,0.0779,114.989,"positive"
0.466,0.39,-13.171,0.0605,0.0181,0.568,0.123,0.0785,104.906,"positive"
0.776,0.511,-7.218,0.244,0.544,0,0.102,0.835,74.973,"negative"
0.459,0.796,-5.226,0.132,0.0761,0.00908,0.0633,0.218,139.913,"positive"
0.635,0.749,-4.194,0.062,0.0169,0,0.172,0.455,127.962,"negative"
0.484,0.731,-6.694,0.0379,0.431,0,0.151,0.51,101.654,"negative"
0.468,0.588,-7.82,0.0512,0.0386,0.898,0.0933,0.0397,122.073,"positive"
0.536,0.584,-7.397,0.0364,0.00667,3.1e-06,0.221,0.237,147.039,"positive"
0.633,0.397,-8.919,0.0493,0.252,1.8e-05,0.0916,0.212,96.968,"negative"
0.504,0.34,-13.829,0.0439,0.627,0.000252,0.124,0.0652,109.986,"positive"
0.918,0.473,-8.942,0.2,0.172,5.53e-06,0.0947,0.434,141.993,"negative"
0.613,0.697,-8.618,0.133,0.0194,0,0.332,0.476,122.746,"positive"
0.727,0.739,-3.805,0.0411,0.365,0.00137,0.161,0.533,93.005,"negative"
0.634,0.525,-8.968,0.47,0.0705,0,0.0729,0.49,130.271,"positive"
0.63,0.93,-5.202,0.213,0.29,0.221,0.159,0.71,85.823,"positive"
0.554,0.758,-6.772,0.129,0.00203,0,0.3,0.35,134.897,"positive"
0.421,0.699,-6.681,0.0306,0.00127,0.648,0.211,0.171,145.004,"positive"
0.546,0.623,-8.334,0.0561,0.00839,0.0271,0.231,0.251,119.997,"positive"
0.694,0.675,-9.89,0.0284,0.0382,0.00838,0.0858,0.455,119.96,"positive"
0.627,0.543,-9.512,0.0613,0.309,0.264,0.185,0.251,160.008,"positive"
0.584,0.579,-4.307,0.0339,0.00168,0.000992,0.201,0.0883,135.088,"positive"
0.625,0.688,-4.994,0.0898,0.175,0,0.089,0.163,127.032,"positive"
0.486,0.404,-7.546,0.454,0.466,0.00247,0.256,0.0569,79.499,"positive"
0.885,0.725,-4.048,0.0456,0.0655,0,0.0389,0.905,129.993,"negative"
0.488,0.488,-7.609,0.0454,0.000234,0.253,0.0774,0.0646,140.04,"positive"
0.455,0.303,-23.236,0.152,0.428,1.32e-05,0.197,0.728,76.937,"positive"
0.598,0.602,-6.932,0.0416,0.081,0.0106,0.166,0.369,124.92,"positive"
0.828,0.522,-8.102,0.326,0.213,0.297,0.083,0.891,160.195,"positive"
0.8,0.658,-6.142,0.079,0.25,0,0.111,0.462,140.042,"positive"
0.695,0.659,-9.953,0.0481,0.00551,0.514,0.107,0.183,117.975,"positive"
0.574,0.612,-4.741,0.0781,0.357,0,0.158,0.368,136.046,"positive"
0,0.405,-11.538,0,0.4,0.736,0.51,0,0,"positive"
0.437,0.315,-12.909,0.0394,0.0483,0.461,0.0923,0.0621,119.986,"positive"
0.64,0.585,-6.607,0.0358,0.426,0.323,0.138,0.0762,107.001,"positive"
0.604,0.741,-5.571,0.0475,0.178,3.49e-05,0.409,0.473,153.947,"negative"
0.186,0.132,-18.31,0.0322,0.778,0.937,0.105,0.0387,88.359,"positive"
0.788,0.708,-6.388,0.582,0.414,0,0.0644,0.417,166.219,"negative"
0.615,0.549,-7.34,0.112,0.00954,0.000101,0.109,0.123,144.099,"positive"
0.632,0.595,-7.644,0.0401,0.0689,0,0.209,0.435,124.114,"negative"
0.497,0.318,-15.129,0.0356,0.869,0.0742,0.108,0.131,102.092,"positive"
0.385,0.651,-8.361,0.15,0.143,0.00498,0.0607,0.318,84.223,"positive"
0.52,0.908,-5.124,0.0682,0.0256,0,0.276,0.861,125,"negative"
0.603,0.827,-7.372,0.0714,0.0453,0.619,0.0833,0.311,144.992,"positive"
0.409,0.256,-14.792,0.198,0.474,0.901,0.113,0.0732,203.197,"positive"
0.333,0.927,-8.55,0.0733,0.0029,0.000208,0.297,0.385,141.466,"positive"
0.429,0.934,-6.66,0.122,1.4e-05,0.00168,0.246,0.16,134.577,"positive"
0.532,0.749,-6.799,0.0372,0.0488,0.0537,0.0546,0.339,164.954,"positive"
0.635,0.685,-6.707,0.0353,0.0133,5.78e-06,0.111,0.482,94.979,"negative"
0.525,0.359,-10.166,0.0348,0.87,0,0.109,0.415,141.822,"negative"
0.474,0.397,-12.233,0.0814,0.616,0.656,0.25,0.46,84.861,"positive"
0.686,0.709,-5.327,0.0307,0.0777,4.01e-06,0.435,0.45,138.967,"negative"
0.714,0.747,-6.505,0.0393,0.533,0.00893,0.125,0.0971,100.043,"positive"
0.452,0.888,-7.994,0.054,0.0169,0.00341,0.17,0.336,133.883,"positive"
0.349,0.521,-9.166,0.0793,0.121,0.00878,0.276,0.107,83.607,"positive"
0.436,0.68,-6.616,0.301,0.0169,0,0.13,0.219,173.68,"negative"
0.767,0.593,-5.901,0.0413,0.0324,4.5e-06,0.0878,0.579,130.007,"positive"
0.692,0.521,-8.465,0.33,0.301,0,0.0565,0.463,100.45,"positive"
0.517,0.658,-7.219,0.379,0.283,0,0.0984,0.491,132.098,"negative"
0.639,0.772,-5.955,0.0737,0.0263,0.0105,0.142,0.511,156.087,"positive"
0.645,0.948,-6.614,0.0664,0.00527,0,0.33,0.369,111.571,"positive"
0.646,0.489,-8.289,0.0284,0.403,0.723,0.2,0.298,129.99,"positive"
0.507,0.742,-7.194,0.0872,0.289,0.00403,0.0712,0.0397,110.203,"positive"
0.601,0.195,-15.82,0.0317,0.726,0.0119,0.104,0.178,131.927,"negative"
0.704,0.789,-4.909,0.0466,0.026,0.169,0.144,0.534,120.587,"positive"
0.721,0.177,-12.925,0.0497,0.931,3.72e-06,0.227,0.68,135.011,"negative"
0.53,0.634,-5.178,0.0652,0.101,4.04e-06,0.112,0.398,180.153,"positive"
0.668,0.73,-8.465,0.0434,0.0709,0.571,0.0712,0.143,109.987,"positive"
0.739,0.661,-5.35,0.0764,0.0958,1.88e-05,0.0848,0.333,76.999,"positive"
0.789,0.72,-5.652,0.218,0.223,0,0.129,0.664,122.031,"negative"
0.644,0.648,-4.601,0.118,0.276,0,0.135,0.44,179.951,"negative"
0.163,0.484,-12.213,0.0335,0.134,0.266,0.237,0.252,170.098,"positive"
0.487,0.687,-6.747,0.0689,0.231,0.117,0.107,0.19,145.983,"positive"
0.714,0.936,-7.45,0.0336,0.13,0.000391,0.0746,0.963,132.991,"negative"
0.498,0.382,-11.555,0.104,0.643,0.15,0.246,0.141,108.745,"positive"
0.722,0.356,-13.966,0.0828,0.528,0.029,0.0938,0.0638,91.928,"positive"
0.677,0.584,-9.347,0.133,0.127,0.569,0.349,0.192,164.053,"positive"
0.386,0.713,-4.886,0.0512,0.0789,0,0.101,0.0552,117.098,"positive"
0.813,0.698,-6.845,0.0716,0.124,2.55e-05,0.073,0.652,112.076,"negative"
0.907,0.737,-14.934,0.836,0.0376,0.217,0.111,0.573,140.129,"positive"
0.725,0.656,-6.369,0.274,0.0324,0.000688,0.173,0.482,115.017,"positive"
0.642,0.471,-11.717,0.0712,0.186,0.424,0.0733,0.211,140.094,"positive"
0.274,0.662,-9.687,0.0559,0.355,0.93,0.287,0.0394,139.852,"positive"
0.555,0.952,-6.922,0.0459,0.000172,0.651,0.218,0.104,125.977,"negative"
0.692,0.717,-6.111,0.265,0.0372,0,0.261,0.552,93.956,"negative"
0.658,0.843,-2.912,0.13,0.0475,1.87e-05,0.136,0.339,93.23,"negative"
0.376,0.391,-7.907,0.0313,0.756,2.11e-06,0.147,0.124,98.911,"positive"
0.329,0.248,-16.68,0.0636,0.594,0.138,0.0963,0.0743,171.95,"positive"
0.668,0.854,-5.848,0.0426,0.276,0.00958,0.195,0.528,102.668,"positive"
0.473,0.833,-6.307,0.031,0.00123,0.938,0.312,0.031,109.996,"positive"
0.693,0.702,-4.428,0.281,0.152,0,0.14,0.546,101.776,"negative"
0.756,0.674,-6.518,0.0959,0.0184,0,0.158,0.389,111.995,"positive"
0.738,0.85,-2.925,0.129,0.0493,3.05e-05,0.229,0.341,93.916,"negative"
0.831,0.419,-7.381,0.44,0.359,0.00228,0.0959,0.339,84.983,"positive"
0.553,0.314,-9.624,0.0272,0.763,1.98e-06,0.111,0.224,112.067,"negative"
0.72,0.56,-4.402,0.0381,0.00765,0.746,0.0891,0.129,104.994,"positive"
0.599,0.65,-4.932,0.085,0.328,5.16e-05,0.0947,0.249,116.066,"positive"
0.387,0.567,-13.861,0.0494,0.895,0.942,0.325,0.0617,192.16,"positive"
0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,"negative"
0.536,0.49,-6.338,0.0275,0.138,0.000363,0.109,0.0392,87.031,"positive"
0.36,0.652,-7.552,0.0443,0.47,0.00118,0.101,0.265,106.46,"positive"
0.718,0.486,-10.334,0.274,0.56,0.00753,0.119,0.337,144.992,"positive"
0.368,0.794,-4.633,0.1,0.0242,0.914,0.0965,0.128,149.915,"positive"
0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,"positive"
0.472,0.33,-8.98,0.0337,0.877,0.732,0.141,0.3,51.466,"positive"
0.579,0.686,-6.306,0.0636,0.132,0.0333,0.155,0.149,110.956,"positive"
0.812,0.622,-7.349,0.144,0.15,0,0.12,0.526,162.049,"negative"
0.636,0.809,-5.196,0.05,0.0439,0.0101,0.0935,0.119,121.057,"positive"
0.477,0.348,-14.586,0.0335,0.931,0.949,0.11,0.0867,117.94,"positive"
0.634,0.692,-5.646,0.0997,0.00586,0.000116,0.0726,0.0839,140.029,"positive"
0.74,0.622,-6.297,0.203,0.0965,0,0.099,0.393,148.04,"negative"
0.896,0.599,-7.64,0.0508,0.0377,0.91,0.101,0.305,110.023,"positive"
0.785,0.797,-3.481,0.0625,0.285,0.74,0.0761,0.849,99.97,"positive"
0.662,0.559,-12.087,0.0433,0.0693,0.888,0.0941,0.201,100.019,"positive"
0.793,0.552,-6.112,0.101,0.0649,1.98e-05,0.0961,0.161,154.994,"negative"
0.585,0.214,-19.042,0.0364,0.48,0.799,0.101,0.122,139.985,"positive"
0.413,0.702,-7.244,0.501,0.0374,0.00818,0.0931,0.106,160.01,"positive"
0.495,0.444,-12.548,0.409,0.898,0.0889,0.108,0.274,112.084,"positive"
0.762,0.701,-3.541,0.0286,0.235,0.000158,0.123,0.742,110.968,"negative"
0.63,0.886,-4.615,0.0406,0.011,0,0.0697,0.897,127.96,"negative"
0.522,0.722,-5.725,0.0506,0.0774,0.00238,0.113,0.0782,142.115,"positive"
0.442,0.585,-10.332,0.0964,0.0984,0.391,0.14,0.116,97.565,"positive"
0.429,0.934,-6.66,0.122,1.4e-05,0.00168,0.246,0.16,134.577,"positive"
0.8,0.608,-9.777,0.111,0.0711,0.000361,0.0466,0.842,113.196,"positive"
0.672,0.855,-3.764,0.0397,0.021,0,0.323,0.646,123.056,"negative"
0.462,0.339,-14.301,0.0418,0.813,0.808,0.108,0.0395,115.015,"positive"
0.602,0.785,-5.012,0.256,0.00372,2.38e-05,0.22,0.376,86.869,"negative"
0.602,0.927,-7.465,0.0376,0.101,0.784,0.671,0.0374,109.515,"positive"
0.687,0.574,-8.697,0.029,0.00801,0.768,0.141,0.143,119.993,"positive"
0.689,0.4,-8.485,0.294,0.552,0.0471,0.0925,0.606,118.392,"positive"
0.606,0.671,-7.529,0.352,0.415,0,0.176,0.642,168.201,"negative"
0.795,0.53,-9.868,0.0499,0.746,3.18e-06,0.32,0.658,120.157,"negative"
0.804,0.656,-6.162,0.317,0.176,0,0.134,0.707,102.834,"negative"
0.619,0.766,-5.754,0.0934,0.322,1.9e-05,0.246,0.196,94.997,"positive"
0.702,0.212,-15.931,0.0694,0.764,0.0587,0.109,0.274,126.029,"positive"
0.574,0.793,-6.219,0.241,0.18,0,0.11,0.544,86.617,"negative"
0.766,0.548,-7.834,0.0373,0.0263,1.81e-06,0.21,0.552,122.012,"negative"
0.591,0.764,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,"negative"
0.655,0.437,-8.952,0.0415,0.57,0.000464,0.102,0.417,90.044,"positive"
0.464,0.496,-6.688,0.0447,0.163,0.000501,0.783,0.0803,113.317,"positive"
0.862,0.517,-7.625,0.0508,0.00484,0.103,0.0988,0.504,118.004,"positive"
0.504,0.76,-4.246,0.0426,0.286,0,0.151,0.64,183.933,"negative"
0.763,0.667,-7.422,0.319,0.0592,0.0349,0.544,0.247,140.128,"positive"
0.842,0.914,-3.367,0.135,0.0349,0,0.0825,0.792,118.983,"positive"
0.702,0.825,-3.787,0.0601,0.00883,0,0.0674,0.915,102.977,"negative"
0.512,0.746,-7.726,0.0325,0.0171,0.216,0.116,0.149,149.959,"positive"
0.545,0.638,-9.918,0.0534,0.0643,0.0793,0.116,0.276,149.964,"positive"
0.526,0.843,-7.512,0.0343,0.266,0.00671,0.139,0.608,136.262,"positive"
0.714,0.598,-7.028,0.0674,0.313,0.609,0.108,0.35,118.995,"positive"
0.9,0.555,-12.171,0.322,0.331,0.0377,0.116,0.321,125.08,"negative"
0.641,0.728,-6.642,0.0368,0.00294,0.2,0.141,0.302,145,"positive"
